     0      1      5      5      0
    60      2      5      5      0
   120      3      5      5      5
   120      4      5      5      5
   180      5      5      5      5
   240      6    518    174    126
   240      7    518    174    126
   300      8    794    173    125
   300      9    794    173    125
   360     10   1129    172    124
   420     11   1401    169    123
   420     12   1401    169    123
   480     13   1653    170    122
   480     14   1653    170    122
   540     15   1749    166    119
   540     16   2125    163    117
   600     17   2125    163    117
   660     18   2396    162    117
   660     19   2396    162    117
   720     20   2702    163    117
   720     21   2702    163    117
   780     22   7343    160    114
   840     23  58785    157    111
   840     24  58785    157    111
   900     25   2794    155    110
   900     26   2794    155    110
   960     27   7344    155    110
   960     28  90352    154    109
  1020     29  90352    154    109
  1080     30  51126    152    108
  1080     31  51126    152    108
  1140     32  47654    151    108
  1140     33  47654    151    108
  1200     34   4854    152    108
  1260     35   4992    152    108
  1260     36   4992    152    108
  1320     37  82978    151    108
  1320     38  82978    151    108
  1380     39   2783    151    108
  1380     40   1181    152    108
  1440     41   1181    152    108
  1500     42  83924    151    107
  1500     43  83924    151    107
  1560     44  74289    150    106
  1560     45  74289    150    106
  1620     46  45264    150    106
  1680     47  46942    150    106
  1680     48  46942    150    106
  1740     49  94861    150    106
  1740     50  94861    150    106
  1800     51  74921    150    105
  1860     52   3180    150    105
  1860     53   3180    150    105
  1920     54   4508    150    105
  1920     55   4508    150    105
  1980     56  54900    150    100
  1980     57  54900    150    100
  2040     58 222084    150    100
  2100     59  87601    150     99
  2100     60  87601    150     99
  2160     61   1148    150     99
  2160     62   1148    150     99
  2220     63 100332    150     99
  2280     64  59146    150     99
  2280     65  59146    150     99
  2340     66   3336    150     99
  2340     67   3336    150     99
  2400     68  59210    150     99
  2400     69  59210    150     99
  2460     70   3376    150     99
  2520     71   6733    150     99
  2520     72   6733    150     99
  2580     73 106570    150     99
  2580     74 106570    150     99
  2640     75  76766    150     99
  2700     76  17830    150     99
  2700     77  17830    150     99
  2760     78 240973    150     99
  2760     79 240973    150     99
  2820     80  16211    150     99
  2820     81  16211    150     99
  2880     82   4511    150     99
  2940     83  12305    150     99
  2940     84  12305    150     99
  3000     85 145657    150     99
  3000     86 145657    150     99
  3060     87  86912    150     99
  3120     88 107928    150     98
  3120     89 107928    150     98
  3180     90  38063    150     98
  3180     91  38063    150     98
  3240     92 267338    150     98
  3300     93  28170    150     98
  3300     94  28170    150     98
  3360     95  56294    150     98
  3360     96  56294    150     98
  3420     97  11084    150     98
  3480     98  11084    150     98
  3480     99  45097    150     98
  3540    100  57932    150     98
  3540    101  57932    150     98
  3600    102  80451    150     98
  3600    103  42972    150      0
