1 100 10101 100.407947077966 201
10 100 1020 100.407947077966 201
20 100 525 100.407947077966 201
30 100 366.666666666667 100.407947077966 201
40 100 292.5 100.407947077966 201
50 100 252 100.407947077966 201
60 100 228.333333333333 100.407947077966 201
70 100 214.285714285714 100.407947077966 201
80 100 206.25 100.407947077966 201
90 100 202.222222222222 100.407947077966 201
100 100 201 100.407947077966 201
200 100 301 100.407947077966 201
300 100 401 100.407947077966 201
400 100 501 100.407947077966 201
500 100 601 100.407947077966 201
600 100 701 100.407947077966 201
700 100 801 100.407947077966 201
800 100 901 100.407947077966 201
900 100 1001 100.407947077966 201
1000 100 1101 100.407947077966 201
