1522283885      1      1      7     10      0
1522283922      2      2      6     10      0
1522283923      3      3      6     10      0
1522283923      4      4      6     10      0
1522283956      5      5      5     10      0
1522283956      6      6      5     10      0
1522283957      7      7      5     10      0
1522283957      8      8      5     10      0
1522283959      9      9      5     10      0
1522283960     10     10      5     10      0
1522283960     11     11      5     14     17
1522283961     12     12      5     15      5
1522283962     13     13      5     15      7
1522283962     14     14      5     15      5
1522283963     15     15      5     15      5
1522283964     16     16      5     15     13
1522283965     17     17      5     15      5
1522283965     18     18      5     15      7
1522283966     19     19      5     15      3
1522283966     20     20      5     15     13
1522283967     21     21      5     15      7
1522283968     22     22      5     15      5
1522283969     23     23      5     15      5
1522283969     24     24      5     15      3
1522283970     25     25      5     15      7
1522283970     26     26      5     15      5
1522283971     27     27      5     15      7
1522283972     28     28      5     15     12
1522283973     29     29      5     15      4
1522283973     30     30      5     15      5
1522283974     31     31      5     15      4
1522283975     32     32      5     15     14
1522283975     33     33      5     15      8
1522283976     34     34      5     15      5
1522283977     35     35      5     15      5
1522283977     36     36      5     15     13
1522283978     37     37      5     15      7
1522283979     38     38      5     15      5
1522283980     39     39      5     15      8
1522283980     40     40      5     15      3
1522283981     41     41      5     15      2
1522283982     42     42      5     15      7
1522283983     43     43      5     15      2
1522283983     44     44      5     15     14
1522283985     45     45      5     15      5
1522283985     46     46      5     15      9
1522283985     47     47      5     15      2
1522283986     48     48      5     15      9
1522283986     49     49      5     15      6
1522283991     50     50      5     15      5
1522283992     51     51      5     15      0
1522283992     52     52      5     15      0
1522283993     53     53      5     15      0
1522283993     54     54      5     15      1
1522284027     55     55     10     15      0
1522284028     56     56     10     15      0
1522284029     57     57     10     15      0
1522284029     58     58     10     15      0
1522284030     59     59     10     15      0
1522284063     60     60     10     15      0
1522284063     61     61     10     15      0
1522284064     62     62     10     15      0
1522284064     63     63     10     15      0
1522284064     64     64     10     15      0
1522284065     65     65     10     15      0
1522284101     66     66      8     15      0
1522284101     67     67      8     15      0
1522284102     68     68      8     15      0
1522284102     69     69      8     15      0
1522284103     70     70      8     15      0
1522284103     71     71      8     15      0
1522284104     72     72      8     15      0
1522284138     73     73     13     15      0
1522284138     74     74     13     15      0
1522284139     75     75     13     15      0
1522284139     76     76     13     15      0
1522284139     77     77     13     15      0
1522284140     78     78     13     15      0
1522284140     79     79     13     15      0
1522284141     80     80     13     15      0
1522284141     81     81     13     15      0
1522284174     82     82     13     15      0
1522284175     83     83     13     15      0
1522284175     84     84     13     15      0
1522284176     85     85     13     15      0
1522284176     86     86     13     15      0
1522284177     87     87     13     15      0
1522284177     88     88     13     15      0
1522284178     89     89     13     15      0
1522284178     90     90     13     15      0
1522284179     91     91     13     15      0
1522284212     92     92     11     15      0
1522284212     93     93     11     15      0
1522284213     94     94     11     15      0
1522284213     95     95     11     15      0
1522284214     96     96     11     15      0
1522284214     97     97     11     15      0
1522284215     98     98     11     15      0
1522284215     99     99     11     15      0
1522284216    100    100     11     15      0
1522284216    101    101     11     15      0
1522284216    102    102     11     15      0
1522284250    103    103     13     15      0
1522284250    104    104     13     15      0
1522284251    105    105     12     15      0
1522284251    106    106     12     15      0
1522284252    107    107     12     15      0
1522284252    108    108     12     15      0
1522284253    109    109     12     15      0
1522284253    110    110     12     15      0
1522284253    111    111     12     15      0
1522284254    112    112     12     15      0
1522284254    113    113     12     15      0
1522284255    114    114     12     15      0
1522284257    115    115     12     15      0
1522284258    116    116     12     15      4
1522284258    117    117     12     15      4
1522284259    118    118     12     15      3
1522284259    119    119     12     15      2
1522284259    120    120     12     15      4
1522284260    121    121     12     15      2
1522284260    122    122     12     15      1
1522284261    123    123     12     15      0
1522284261    124    124     12     15      5
1522284262    125    125     12     15      0
1522284262    126    126     12     15      0
1522284296    127    127     14     15      0
1522284296    128    128     14     15      0
1522284296    129    129     14     15      0
1522284297    130    130     14     15      0
1522284297    131    131     14     15      0
1522284298    132    132     14     15      0
1522284298    133    133     14     15      0
1522284299    134    134     14     15      0
1522284299    135    135     14     15      0
1522284300    136    136     14     15      0
1522284300    137    137     14     15      0
1522284301    138    138     14     15      0
1522284301    139    139     14     15      0
1522284334    140    140     13     15      0
1522284335    141    141     13     15      0
1522284336    142    142     13     15      0
1522284336    143    143     13     15      0
1522284337    144    144     13     15      0
1522284337    145    145     13     15      0
1522284338    146    146     13     15      0
1522284338    147    147     13     15      0
1522284339    148    148     13     15      0
1522284339    149    149     13     15      0
1522284340    150    150     13     15      0
1522284340    151    151     13     15      0
1522284374    152    152     15     15      0
1522284374    153    153     15     15      0
1522284375    154    154     15     15      0
1522284375    155    155     15     15      0
1522284376    156    156     15     15      0
1522284376    157    157     15     15      0
1522284376    158    158     15     15      0
1522284377    159    159     15     15      0
1522284377    160    160     15     15      0
1522284378    161    161     15     15      0
1522284378    162    162     15     15      0
1522284379    163    163     15     15      0
1522284379    164    164     15     15      0
1522284380    165    165     15     15      0
1522284414    166    166     15     15      0
1522284414    167    167     15     15      0
1522284415    168    168     15     15      0
1522284415    169    169     15     15      0
1522284416    170    170     15     15      0
1522284416    171    171     15     15      0
1522284417    172    172     15     15      0
1522284417    173    173     15     15      0
1522284418    174    174     15     15      0
1522284418    175    175     15     15      0
1522284418    176    176     15     15      0
1522284419    177    177     15     15      0
1522284419    178    178     15     15      0
1522284420    179    179     15     15      0
1522284420    180    180     15     15      0
1522284423    181    181     15     15      0
1522284423    182    182     15     15      4
1522284423    183    183     15     15     14
1522284424    184    184     15     15      4
1522284424    185    185     15     15      1
1522284425    186    186     15     15      4
